Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
74,1.038370334,0.127486127,0.184455888,1.109949791,0.4416989,0.945282527,-0.036714604,0.350995,0.11894954,-0.24328924,0.578062601,0.67472982,-0.534230568,0.446601378,1.122884672,-1.768000514,1.241156963,-2.449499863,-1.747255172,-0.335519851,0.102519797,0.60508853,0.023092156,-0.626462661,0.479120272,-0.166936836,0.081246718,0.001191576,1.18,0
80,-0.655264276,0.409898543,1.289156438,-0.325043259,0.545669467,-0.349810664,0.648240482,0.036062882,0.078701416,-0.829167268,-1.781658732,-0.412806783,-0.62622029,-0.113361055,-0.714754633,0.120701514,-0.474281674,-0.24059467,0.040823476,-0.03477599,-0.155727059,-0.477390318,-0.126524993,-0.443627777,-0.012118142,0.143172915,0.049782585,0.118280287,32.51,0
263,1.143648911,0.128210203,0.407255475,1.160950092,-0.504531514,-0.904842966,0.111993062,-0.151667475,0.180408481,0.001026601,-0.51175531,-0.233763135,-0.814985243,0.513246951,1.12110997,0.219196916,-0.42402828,-0.052362219,-0.3820374,-0.102034097,-0.036000502,-0.221754206,-0.049749745,0.345483344,0.495657728,-0.440443319,0.008208615,0.03168921,49.99,0
406,-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1
421,-1.397775624,0.004572569,2.528964281,0.648278911,-0.196625104,0.163190056,-0.27829648,0.366045314,0.435493138,-0.308059553,-0.678178025,-0.219642485,-0.643433498,-0.383810872,0.81403799,-0.471959691,0.41992474,-0.334457894,0.524410362,0.05648148,-0.087222239,0.150044319,0.322305581,0.091753232,0.171955496,0.509403385,0.266857698,0.094295607,12.41,0
472,-3.043540624,-3.157307121,1.08846278,2.288643618,1.35980513,-1.064822523,0.325574266,-0.067793653,-0.270952836,-0.838586565,-0.414575448,-0.50314086,0.676501545,-1.692028933,2.000634839,0.666779696,0.599717414,1.725321007,0.28334483,2.102338793,0.661695925,0.435477209,1.375965743,-0.293803153,0.279798032,-0.145361715,-0.252773123,0.035764225,529,1
804,-0.702307642,0.508943592,2.248616793,0.481890807,-0.236682585,-0.071203371,0.277315636,0.205825575,-0.13618521,-0.580382008,0.899855431,1.106608802,0.207663042,-0.252430017,-1.145577037,0.020396555,-0.498530102,0.536176652,-0.181545151,0.006029949,0.29195567,0.928979581,-0.17917985,0.578609529,0.001143389,-0.373685055,0.150619189,0.139256568,34.95,0
821,-1.026205985,-0.454773353,2.745088781,-1.533086124,-1.091165798,-0.085628298,0.062351006,-0.065819914,-0.88633106,0.231771843,0.970790453,0.300760694,0.135392092,-0.683824852,-0.643730636,-0.933017647,-0.491210453,1.746260103,-1.012146582,-0.401263702,-0.229039686,0.025355282,-0.014195801,0.58359615,0.073280024,0.974509924,-0.24223408,-0.193197547,82.5,0
862,1.208498423,0.570566972,0.0430931,1.244182243,0.178013652,-0.861349108,0.561900324,-0.298842358,-0.542087608,0.023788435,0.333986731,0.996386509,1.06777303,0.380016722,0.744107545,-0.617218798,0.004715798,-1.075425233,-0.796480768,-0.127231662,0.064083377,0.328368254,-0.086533598,0.438507617,0.768232085,-0.27431736,0.015214328,0.01321965,1,0
951,-1.283598933,0.192102777,2.184848085,0.164600475,1.318912606,-1.341122342,0.621644631,-0.30000848,-0.584211742,-0.53099425,-0.306602292,0.479455633,1.054662154,-0.216083434,0.376552285,0.163174114,-0.843261489,-0.215941332,-0.861395853,0.254727213,0.032527533,-0.020854488,-0.216514151,0.397413584,0.60273557,-0.555698385,-0.149661934,-0.135548709,5,0
1164,0.935046656,-0.584761727,0.196066086,0.447476261,-0.601639728,-0.236398729,0.000171241,0.014678491,0.405086443,-0.165396518,0.67545292,0.740731351,-0.671519688,0.256508746,-0.738056562,0.032206467,-0.251240196,-0.052487934,0.720626788,0.182981972,-0.126610975,-0.588297664,-0.156606932,0.053381064,0.343462931,0.490778712,-0.076862184,0.020417559,158,0
1328,-0.874030415,0.838027078,1.432368238,-0.769059834,-0.013588575,-0.272639327,0.532528693,0.15216772,0.224061586,-0.310728062,0.309683375,-0.028337096,-1.688800007,0.159240279,-1.218175214,0.121005501,-0.424030551,0.112731847,0.344882253,-0.081465824,-0.152142206,-0.410740446,-0.197996909,0.001984741,-0.045785909,0.358776355,-0.003807847,0.144922898,5,0
1610,-2.925332877,2.528043325,-0.312653624,-1.007821628,-1.175815358,-0.692041698,-0.607307573,1.56007536,0.650712693,0.733575591,0.0920793,0.352197995,-1.639729338,0.925148994,-0.822930482,0.59807583,-0.112814443,0.238746158,0.004514954,0.380997576,-0.230772543,-0.628271794,0.106174843,-0.037837732,0.119484448,0.334822364,0.537721937,0.342260941,1,0
1635,-0.617073324,-0.248827686,2.131064375,-2.686219465,-1.037866242,-0.251727649,-0.53208311,0.179020341,-2.372829404,1.0131432,0.65827389,-0.727019331,0.281253185,-0.478635632,-0.395503209,0.290008477,-0.208265948,1.01322064,-0.548574383,-0.156577752,-0.031559655,0.30351838,-0.344617927,-0.015833606,0.428045119,-0.166206682,0.306139176,0.115619342,8,0
